vertices,cores,threads_per_core,total_threads,execution_time,cliques
4,1,1,1,0.0142105,2
4,2,2,4,0.0016125,2
4,2,3,6,0.0015462,2
4,3,4,12,0.0012095,2
15,1,1,1,0.0038455,19
15,2,2,4,0.001832,19
15,2,3,6,0.0020565,19
15,3,4,12,0.0032881,19
100,1,1,1,0.1446199,2654
100,2,2,4,0.0660371,2654
100,2,3,6,0.067981,2654
100,3,4,12,0.0578165,2654
200,1,1,1,1.6557066,36513
200,2,2,4,0.4278893,36513
200,2,3,6,0.3052751,36513
200,3,4,12,0.2614977,36513
4,1,1,1,0.0145702,2
4,2,2,4,0.001239,2
4,2,3,6,0.001154,2
4,3,4,12,0.0012873,2
15,1,1,1,0.0038786,19
15,2,2,4,0.0023607,19
15,2,3,6,0.0022606,19
15,3,4,12,0.0026739,19
100,1,1,1,0.1986272,2654
100,2,2,4,0.063951,2654
100,2,3,6,0.0663555,2654
100,3,4,12,0.0623701,2654
200,1,1,1,1.6748385,36513
200,2,2,4,0.4256365,36513
200,2,3,6,0.3165835,36513
200,3,4,12,0.29394,36513
4,2,6,0.0115488,2
15,2,6,0.0101663,19
100,2,6,0.1761109,2654
200,2,6,1.0583951,36513
4,3,4,0.0142709,2
15,3,4,0.0078764,19
100,3,4,0.2118572,2654
200,3,4,1.5408508,36513
4,5,2,0.0202062,2
15,5,2,0.0138922,19
100,5,2,0.1622943,2654
200,5,2,1.149865,36513
